Time,altitude (ft),Mach,Vt (ft/s),alpha (deg),beta (deg),p (rad/s),q (rad/s),r (rad/s),phi (rad),theta (rad),psi (rad),elevator cmd,elevator (rad),left aileron (rad),right aileron (rad),rudder (rad),flap (rad),weight (lb),engine 0 thrust (lb),engine 1 thrust (lb)
0,40000.1884156912565,0.799999999999999489,774.459548528208074,-3.33515603215094706e-15,3.4337410382171407e-15,0,0,0,-1.18616341138162461e-16,4.79171125556109589e-17,1.57079632679489656,0,0,0,0,0,0,9974,167.237348378114916,167.237348378114916
0.1,40000.0323112122715,0.800104592616135091,774.560801966047848,0.228947276489882778,-0.0041547151895999267,0.000167086703555454692,-0.00104145981149648351,0.00254694393832515355,1.81817244018322868e-06,-2.49513242986688301e-05,1.57088078839571788,0,0,0,0,0.00251555418708855876,0,9973.98569247592604,594.912245537721219,0
0.2,39999.5715081691742,0.800195170932480937,774.648488518527415,0.437974029966090694,-0.0224640459567848165,0.00121035239229598827,-0.0031489040980593342,0.0043764242799730485,5.36101251681504179e-05,-0.000202615810668176126,1.57122200415440894,0,0,0,0,0.00486502702782546162,0,9973.97004872460275,496.528322744701029,0
0.3,39998.8210558369756,0.80026434746158126,774.715456547897134,0.623167308432622136,-0.0477998377832481933,0.0029033424213439421,-0.0060854535293502288,0.00505776798992696366,0.00023830477669275788,-0.000625188662080712566,1.57169679070358526,0,0,0,0,0.00547313728909188182,0,9973.95622844189347,411.564349680753878,0
0.4,39997.793337777257,0.800316636935033299,774.766076650400123,0.781361864690926833,-0.0744606773657705834,0.00494548839888109184,-0.0097257994920687367,0.00497086464009529553,0.000608047600689411638,-0.00137076634654695806,1.572206026249934,0,0,0,0,0.00499502569100115749,0,9973.94272583976635,340.941768272557567,0
0.5,39996.4989135079086,0.800356916482553249,774.80507025063423,0.910267660627490649,-0.0987508123833030493,0.00711210857399444465,-0.0139328292924234213,0.00441572933975296639,0.0011880951197706267,-0.00250439178902745179,1.57268502872047522,0,0,0,0,0.00392162482506472169,0,9973.92922323763923,285.018059606959525,0
0.6,39994.9463668093085,0.800390099608471517,774.837193986530906,1.00848124702565189,-0.118554456219801013,0.00924382711462387249,-0.0185611427805021691,0.00362206745598878761,0.00198403411661555486,-0.00407698061601346855,1.57309592349110705,0,0,0,0,0.00260862359215930338,0,9973.9157206355103,242.941682501465067,0
0.7,39993.1422142833471,0.800420719532985769,774.866836352675023,1.07548152691891419,-0.132948346960175379,0.011235897675302536,-0.0234600200136920317,0.00275605814577627997,0.00298790918731274384,-0.00612460006050927902,1.5734208624402084,0,0,0,0,0.00129789042861057813,0,9973.90221803338136,212.787817169211849,0
0.8,39991.0908733978868,0.800452659474400363,774.89775659343502,1.11161036805365843,-0.141851161827896755,0.0130270591657474181,-0.0284770265679274298,0.00192881208527381364,0.00418322372179050737,-0.00866809120643149793,1.57365602005585958,0,0,0,0,0.000138141481498744729,0,9973.88871543125424,192.200440638210409,0
0.9,39988.7946885190904,0.800489099356311629,774.933033111551822,1.11803285355662951,-0.145725135461763716,0.0145887861612920017,-0.0334625690107182711,0.00120722743629113425,0.00554880969414129482,-0.0117131047288004421,1.57380658639801174,0,0,0,0,-0.000793239494192978477,0,9973.87521282912712,178.964052127109909,0
1,40000.1884584650397,0.799999999293443453,774.459547844209283,5.20012737922738566,-0.000949388927512531417,6.98450932615355516e-09,-5.84088848251326787e-15,-4.87798740711074732e-10,-0.00199428133109489465,0.0907600894865531194,1.57079680930251597,0,-0.0407959819417686997,1.00688485141217589e-05,-1.00688485141217589e-05,-5.22702368921266756e-05,0,9973.86171022699818,489.85225567422907,0
1.1,40000.1877984367311,0.799821187880727424,774.286445086754611,5.20319532646929428,-0.00643225911933928592,0.000229106208870445623,0.000825937141050952063,0.00232893861837537566,-0.00198146459189671529,0.0907972862594094432,1.57089821237211114,0,-0.0407997120539404096,1.006976914239469e-05,-1.006976914239469e-05,0.00233989507136196304,0,9973.84745394971469,489.794207669537627,0
1.2,40000.1861089468002,0.799658384575303138,774.128839368732315,5.21061215971406266,-0.0227706342144674313,0.00118566946153582527,0.00160636185681046584,0.00391222124487499139,-0.0018982501692907279,0.0909158282823000763,1.57120341015938969,0,-0.0408038611116664715,1.00707931705399071e-05,-1.00707931705399071e-05,0.00423251751060630885,0,9973.83319923955605,489.74136561023289,0
1.3,40000.1837835274637,0.799494981673479987,773.970653196764601,5.22195908855896995,-0.0455415800486289463,0.00274012176790274908,0.00231955030569245407,0.00488735365305647054,-0.00168204212476954986,0.0911100779030812324,1.57164173840450427,0,-0.0408080237467966303,1.00718205497216337e-05,-1.00718205497216337e-05,0.00515642686431477208,0,9973.818946069292,489.688334338945879,0
1.4,40000.1814965792,0.799330665177978017,773.811582598111954,5.23663104081925557,-0.0713196426631460267,0.0047434142609799404,0.00294728285691466061,0.00540376452931964988,-0.00128408233622271262,0.0913723432249031325,1.57215843463683402,0,-0.0408122081531823583,1.00728533022627936e-05,-1.00728533022627936e-05,0.0053943388177401649,0,9973.80469444570736,489.635006252416247,0
1.5,40000.1801503226161,0.799165162037327792,773.651363238626914,5.2539638774815316,-0.0975540380492792431,0.00706614844541310697,0.00347518555980149508,0.00558526365793935407,-0.000668469401805701652,0.0916932666022763493,1.57271272134965856,0,-0.0408164215147103701,1.00738932012170891e-05,-1.00738932012170891e-05,0.00516968692205312108,0,9973.79044437858829,489.581285036609813,0
1.6,40000.1808271296322,0.798998245843370425,773.489775938359116,5.27325678534656905,-0.122416642797139333,0.00959745492807325719,0.00389288416724868245,0.00553347327364039129,0.000189533824396017031,0.0920622373619022633,1.57327536742327712,0,-0.0408206698516853719,1.00749417324547814e-05,-1.00749417324547814e-05,0.00465660590329099178,0,9973.77619588037487,489.527087891233293,0
1.7,40000.1847395449877,0.798829740870275362,773.326650581624108,5.29379432683611384,-0.144670340149755799,0.0122438449008270018,0.00419407285959046052,0.00533077255064669155,0.00130511573998133134,0.0924678109299510026,1.57382656671471266,0,-0.0408249579093014209,1.00760000671363072e-05,-1.00760000671363072e-05,0.00398833801151024687,0,9973.76194896574452,489.472347241833347,0
1.8,40000.1931795589626,0.798659524415633482,773.161868383356591,5.31486809230879409,-0.163554887492636469,0.014928000144149042,0.00437647703958928339,0.00504286636093955257,0.00268544367062333684,0.0928981205746633593,1.57435409238520063,0,-0.0408292890892311064,1.00770690448278252e-05,-1.00770690448278252e-05,0.00326435646905522689,0,9973.74770365114819,489.417011914045474,0
1.9,40000.2074685879052,0.798487527429622257,772.99536249818857,5.33579750887528448,-0.178688089845606413,0.0175874904164858847,0.00444170114509860776,0.00472105850324406467,0.00433109175455898606,0.0933412706981975593,1.57485169554959947,0,-0.0408336654248786027,1.00781491673934378e-05,-1.00781491673934378e-05,0.00255643285604906451,0,9973.73345995433192,489.361047753556932,0
2,40000.2289098016918,0.798313733466399111,772.827117005320133,5.35594917048722863,-0.189980520540587783,0.0201734233616756957,0.00439496238112189845,0.00440428637272724695,0.00623735783513462011,0.0937857024300883663,1.57531772371203882,0,-0.0408380875996997433,1.00792406035167443e-05,-1.00792406035167443e-05,0.00191382356381191061,0,9973.71921789383669,489.304437689203667,0
2.1,40000.2587438672781,0.798138176049743686,772.657164358265504,5.37475401338539527,-0.197562363401461022,0.0226490429923766091,0.00424471945881742425,0.0041209566964731251,0.00839546014048826901,0.0942205236366033816,1.57575393898509186,0,-0.0408425550065451837,1.00803432033473335e-05,-1.00803432033473335e-05,0.00136771127293009451,0,9973.70497748850539,489.247181259992828,0
2.2,40000.2981095202267,0.797960934602910066,772.485581444646414,5.39172172405196548,-0.201721189097000098,0.0249882995614568518,0.00400221176395817915,0.00389060912899817646,0.0107936072355138413,0.0946357966649562926,1.57616451890168263,0,-0.0408470658444893622,1.00814565223991096e-05,-1.00814565223991096e-05,0.000935007788034838624,0,9973.69073875700633,489.189293642371069,0
2.3,40000.3480096980929,0.797782129144050112,772.312484450967531,5.40645189659070891,-0.202849643765972421,0.0271744171156264973,0.00368092886269691518,0.00372542518501725985,0.0134179377845578367,0.0950227783715669738,1.57655522422127414,0,-0.0408516172482538895,1.00825798534932606e-05,-1.00825798534932606e-05,0.000621602270388380701,0,9973.67650171740024,489.13080423619175,0
2.4,40000.409284170717,0.797601913989052336,772.138022766495624,5.41864162297378726,-0.201402137846706381,0.0291984859440794844,0.00329603297014950799,0.00363159344985250791,0.0162533297751422459,0.0953741083322256211,1.57693271890725994,0,-0.0408562054442394434,1.00837122652684582e-05,-1.00837122652684582e-05,0.000425122298932909405,0,9973.66226638674198,489.071754878867978,0
2.5,40000.4825889728963,0.797420470731025732,771.962372186877246,5.42808937936445446,-0.197859691671593174,0.0310581060657894731,0.00286375810798190694,0.00361053769761802111,0.0192840818097044578,0.09568394262385925,1.57730402773216238,0,-0.0408608259264133591,1.00848526455916439e-05,-1.00848526455916439e-05,0.000337263005506761848,0,9973.64803278074396,489.012197771179558,0
2.6,40000.5683829858899,0.797238000779130207,771.785727691171019,5.43469524713628704,-0.192702134170823186,0.0327561053312889761,0.00240080936362250304,0.00366001202266599737,0.0224944717224609125,0.0959480321783197226,1.57767611700373456,0,-0.0408654736448850961,1.00859997481002921e-05,-1.00859997481002921e-05,0.000345730787896935125,0,9973.63380091349245,488.952193201945647,0
2.7,40000.6669215895236,0.797054717739526741,771.608296066040793,5.43845766584431267,-0.186386872704255219,0.0342993520781157898,0.00192378417268426771,0.00377506597627544002,0.0258692000226101518,0.0961637463813569404,1.57805558389008516,0,-0.0408701431999338033,1.00871522400903328e-05,-1.00871522400903328e-05,0.000435842007582195538,0,9973.61957079726017,488.891807162301745,0
