Time,altitude (ft),Mach,Vt (ft/s),alpha (deg),beta (deg),p (rad/s),q (rad/s),r (rad/s),phi (rad),theta (rad),psi (rad),elevator cmd,elevator (rad),left aileron (rad),right aileron (rad),rudder (rad),flap (rad),weight (lb),engine 0 thrust (lb),engine 1 thrust (lb)
0,40000.1884156912565,0.799999999999999489,774.459548528208074,-3.33515603215094706e-15,3.4337410382171407e-15,0,0,0,-1.18616341138162461e-16,4.79171125556109589e-17,1.57079632679489656,0,0,0,0,0,0,9974,167.237348378114916,167.237348378114916
0.1,40000.0323018543422,0.800104593172583867,774.560802504731669,0.229008870178670804,-0.00415471509982129426,0.000167087038524818733,-0.00100371753422775329,0.00254694392068664137,1.81817971308132068e-06,-2.4653263824166519e-05,1.57088078839602119,0,-0.000263359128999693696,0,0,0.00251555418601271188,0,9973.98569247592422,594.912245882302386,0
0.2,39999.5712598972023,0.800195175413146442,774.64849285614514,0.439158963834397953,-0.0224640033680674339,0.00121038338345144333,-0.00277781866764224318,0.00437641573938684584,5.36126915347858094e-05,-0.000188181600036239872,1.57122200443273985,0,-0.000808002674756956411,0,0,0.00486502188741557654,0,9973.97004872455,496.528327589395644,0
0.3,39998.8199646100402,0.800264343134042822,774.715452358517723,0.628512555110182336,-0.0477989783998605533,0.00290354019179338068,-0.00499128861052873952,0.00505765576862787607,0.000238335013301036353,-0.000547915127061996397,1.57169679681176233,0,-0.00141890422570830894,0,0,0.00547304422507434701,0,9973.95622844173522,411.564358197886463,0
0.4,39997.7905775308609,0.800316556087577347,774.765998384044906,0.795971179942277174,-0.0744547001411370868,0.00494604324014909225,-0.00752047982914506863,0.00497031637845667985,0.000608183535067765148,-0.00114260048297112784,1.57220607212343411,0,-0.00203752667342216569,0,0,0.00499451339629495943,0,9973.94272583960628,340.941767286500806,0
0.5,39996.493779078126,0.800356590943040125,774.804755104153742,0.94106343703831552,-0.0987264804900309517,0.00711302978351400356,-0.0102748648972651214,0.00441408062387350138,0.0011884702699549068,-0.00200005256911380729,1.57268523172306707,0,-0.00262871551839003815,0,0,0.0039199949671937474,0,9973.92922323747916,285.018029045817286,0
0.6,39994.9387682303786,0.800389214387408288,774.836337026649744,1.06376975520767214,-0.118482794541409919,0.00924458660627737981,-0.0131839528088284925,0.00361838018299554974,0.00198478700632071176,-0.00313986008022289253,1.57309657657454083,0,-0.00317148925635634934,0,0,0.00260487698382804366,0,9973.91572063535205,242.941608642739027,0
0.7,39993.1332804709673,0.800418769590558909,774.864948663260634,1.16441600650150812,-0.132778547101331579,0.0112350473409069829,-0.016188708549043751,0.00274934441837752916,0.00298907720493584664,-0.004575002614652008,1.57342255779609475,0,-0.00365315754138308612,0,0,0.00129099519444006178,0,9973.90221803322311,212.787704968010047,0
0.8,39991.0836218260229,0.800448912564220461,774.894129305477122,1.24361037410526665,-0.141507172852100821,0.0130219121556032803,-0.0192368495552863658,0.00191836955367897578,0.00418459519920895331,-0.0063127986021833957,1.5736597893767319,0,-0.00406592420632762019,0,0,0.000127429934080132933,0,9973.88871543109417,192.200320113238831,0
0.9,39988.7947175912559,0.800482567123946054,774.926709424390879,1.30220196286310741,-0.145106167168582378,0.0145752279840879097,-0.0222810084781190632,0.00119300198161135986,0.00554975568005366959,-0.0083555212946609201,1.57381403692518873,0,-0.00440520265264981309,0,0,-0.000807657252491268381,0,9973.87521282896705,178.963977820482768,0
1,40000.1884584724903,0.799999999293464326,774.459547844229519,5.20012738866384794,-0.000965191698492775564,-7.24091104344386975e-11,8.86888828978589505e-14,-1.40875710341679516e-10,-0.0019950649865644308,0.0907600901696360707,1.57079680930252974,0,-0.0407959820248085733,1.0338250706591707e-05,-1.0338250706591707e-05,-5.31687597080248247e-05,0,9973.86171022683993,489.852257449901686,0
1.1,40000.1878170706332,0.799821188384981174,774.286445574909749,5.20309537562292945,-0.00644810078917321203,0.000229064206561587999,0.000772943713904966179,0.00232894066903052309,-0.00198225022061919659,0.0907965573794535658,1.57089821390338646,0,-0.0405708297545084029,1.03391959667078324e-05,-1.03391959667078324e-05,0.00233899597515356853,0,9973.84745394951824,489.794209452331472,0
1.2,40000.1863243058324,0.799658411517442658,774.128865450728881,5.20958786322551504,-0.0227865980269907308,0.00118557130928624121,0.00133862967240633009,0.00391223198592171445,-0.00189904142157806322,0.0909021730991385751,1.57120343699025988,0,-0.0404043739213273689,1.03402472904645907e-05,-1.03402472904645907e-05,0.00423162246710739876,0,9973.83319923928502,489.741374320197679,0
1.3,40000.1844528019428,0.799495150465355686,773.970816599864406,5.21856955558425195,-0.0455582677442615894,0.00273990227036907544,0.00175658989916213757,0.0048874215906461356,-0.00168285456018713942,0.091058198852825234,1.57164183529244328,0,-0.0403248336507808849,1.03413014520949043e-05,-1.03413014520949043e-05,0.00515558103097966871,0,9973.81894606841888,489.688385264928513,0
1.4,40000.1827786825597,0.799331218649552255,773.812118399793803,5.22925443912531573,-0.0713393358185119425,0.0047430073962455516,0.00207082857852119171,0.00540400690018028821,-0.00128495694824569471,0.0912515845127058328,1.57215864271143424,0,-0.0402994482657192954,1.03423597358152417e-05,-1.03423597358152417e-05,0.00539366423152861079,0,9973.80469444220762,489.63517686306318,0
1.5,40000.1819460652769,0.799166478877543995,773.652638037976089,5.24108605312038733,-0.0975822000212624996,0.00706556726555327991,0.00230841633215568207,0.00558584773814524167,-0.000669473378912780023,0.0914729386479480877,1.57271305536550243,0,-0.0403079601360748496,1.03434230835122236e-05,-1.03434230835122236e-05,0.00516936399574897607,0,9973.79044436764525,489.58169908819491,0
1.6,40000.182645637542,0.7990008297786233,773.492277380020823,5.25365216416189629,-0.12246312981037423,0.00959687530288554427,0.00248625394709950766,0.00553455441746820813,0.000188321072157983962,0.0917151537427453728,1.57327579564122111,0,-0.0403377325315530458,1.03444921912983817e-05,-1.03444921912983817e-05,0.00465680037468755095,0,9973.77619585304819,489.527913079754114,0
1.7,40000.1855965070426,0.798834197413981206,773.330964847657128,5.26663260124938315,-0.144749807910451916,0.0122436700797460898,0.00261519842990075128,0.00533241078231056539,0.00130362787950105891,0.0919725861856421495,1.57382699476019727,0,-0.0403807716867525465,1.03455675691490804e-05,-1.03455675691490804e-05,0.00398910258342533974,0,9973.76194890775696,489.473788567026304,0
1.8,40000.1915305294096,0.7986665300143998,773.168650324428768,5.2797678042622449,-0.16368614062619874,0.0149288909709195793,0.00270257202343520938,0.00504494650225761291,0.00268365872176068746,0.0922405677965864451,1.57435435316756589,0,-0.040431913326684922,1.03466495781586919e-05,-1.03466495781586919e-05,0.0032655403401258983,0,9973.74770354190878,489.419302290026337,0
1.9,40000.2011783272028,0.798497794567238683,773.005301851642457,5.2928402942533781,-0.178892390978940302,0.0175903534996480967,0.0027536769952789357,0.0047232342513508609,0.00432906372382485354,0.0925151145220261956,1.5748515474850393,0,-0.0404877218602838346,1.03477384544922701e-05,-1.03477384544922701e-05,0.00255762496143232838,0,9973.73345976624842,489.364437008634354,0
2,40000.2152569591999,0.798327974457763045,772.840903344997969,5.30566413171940887,-0.190279090094477576,0.0201793565895014085,0.00277269771588456535,0.00440596100526279184,0.00623524367356203223,0.092792751888174943,1.57531685904814789,0,-0.0405458256978531301,1.03488343256850995e-05,-1.03488343256850995e-05,0.00191434391209124866,0,9973.71921759195538,489.309180842040917,0
2.1,40000.2344588302076,0.798157067677089604,772.675452859747111,5.31807920782787402,-0.197973435438145912,0.0226592439580967295,0.00276322491670078592,0.00412130479814058932,0.0083935380353239511,0.0930704094189933051,1.57575200308568819,0,-0.0406045189890049951,1.03499372227708867e-05,-1.03499372227708867e-05,0.00136665321967825173,0,9973.70497703049841,489.253526783493953,0
2.2,40000.259441960603,0.79798508530600909,772.5089611229198,5.32994834088534652,-0.202257040783925923,0.0250039471886842023,0.00272854761132389125,0.00388863642562855497,0.0107922835150641942,0.0933453558052305815,1.5761611401088873,0,-0.0406625253985546942,1.03510470903290012e-05,-1.03510470903290012e-05,0.000931324517559129969,0,9973.6907380934972,489.197472294764907,0
2.3,40000.2908214591444,0.797812050110649373,772.341450173822523,5.34115587926689805,-0.20351399710151799,0.0271965396992248157,0.00267180335870338421,0.00372005806157007591,0.0134177410559999412,0.0936151582528091664,1.57655005259014236,0,-0.0407188596217350901,1.03521637956466019e-05,-1.03521637956466019e-05,0.000614224135270986598,0,9973.67650079260056,489.14101892825272,0
2.4,40000.3291623070836,0.79763799516690459,772.172952032382909,5.3516069924700016,-0.202188260038140388,0.0292278298631888436,0.00259604370531235293,0.00362178634742895116,0.0162548922081174399,0.0938776562768634804,1.57692547091577806,0,-0.0407727470453019061,1.03532871376189463e-05,-1.03532871376189463e-05,0.000413088230031210808,0,9973.66226513935908,489.084171948631536,0
2.5,40000.3749733790755,0.797462962481157667,772.003507363906351,5.36122715311348674,-0.198749415254995482,0.0310950187371959313,0.00250425054784674103,0.00359538530439496668,0.0192881086328534311,0.0941309441678642028,1.57729453317299373,0,-0.0408235772585523182,1.03544168556507476e-05,-1.03544168556507476e-05,0.000319848701690089677,0,9973.64803114514143,489.026939943931552,0
2.6,40000.4287027530372,0.797287001605102241,771.833164138120765,5.36996152844462049,-0.193665899257203428,0.0328004438843209276,0.00239932586525984674,0.0036388537181669023,0.0225017009496667753,0.0943733586188407608,1.57766436377136654,0,-0.0408708766294737375,1.03555526386037803e-05,-1.03555526386037803e-05,0.00032255826565147518,0,9973.63379882102527,488.969334424654619,0
2.7,40000.4907342121005,0.797110168259075436,771.661976296459898,5.37777414368785589,-0.18738477844381829,0.0343504261805454431,0.00228406880038332276,0.00374757192849449776,0.0258803551297429081,0.0946034692860757698,1.57804175633250154,0,-0.0409142910890410161,1.03566941337135229e-05,-1.03566941337135229e-05,0.000406958617914610988,0,9973.61956817772079,488.911369416206924,0
2.8,40000.5613849274814,0.796932522985830505,771.49000244881563,5.38464677298633987,-0.180317217962665616,0.0357542316706347396,0.00216114862610482066,0.00391511381794171741,0.0294094661615110879,0.0948200707912038865,1.57843294678681545,0,-0.040953573957865988,1.03578409553392797e-05,-1.03578409553392797e-05,0.000557732409311533905,0,9973.60533922550712,488.853061051605778,0
